,Sample,N,Location,Strat_height_C22-4,Measurement,Type,Mineralogy,Category,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,Ca,Mg,Sr,Mn,altered,alt_spline,color,d18O_T_KON97_icefree,age_model_BW
54,BW-286,5.0,BW,286.0,clumped,Dolomite,Dolomite,Dolomite,75.6,4.82,-2.266966245929674,5.7,0.9,0.8,1.8,1.7,1.8,1.7,0.4738,0.011,0.0284,0.0215,76.5,5.9,6.2,11.4,12.7,11.2,12.4,,,23897.14285714286,13356.25,7.39,15.093333333333334,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",22.95,354.2434782608696
55,BW-290,1.0,BW,290.0,clumped,Dolomite,Dolomite,Dolomite,97.8,4.48,-2.441567572899759,4.6,1.9,2.0,3.9,4.0,3.9,4.0,0.4841,0.0247,,0.0484,71.0,12.2,13.6,23.2,29.1,22.8,28.4,,,31105.714285714286,15195.0,5.7875,15.606666666666667,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",23.81,354.33913043478265
56,BW-294,1.0,BW,294.0,clumped,Dolomite,Dolomite,Dolomite,98.8,4.28,-2.916871185207214,6.6,2.0,1.9,4.0,3.9,3.9,3.9,0.4545,0.0246,,0.0483,87.6,13.9,15.7,26.3,33.7,25.9,33.0,,,27974.285714285717,12516.25,6.541,9.132,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",26.18,354.4347826086957
57,BW-298,1.0,BW,298.0,clumped,Dolomite,Dolomite,Dolomite,95.9,4.25,-3.5473759770436306,6.1,2.0,2.0,4.0,4.0,3.9,3.9,0.4524,0.0246,,0.0482,88.8,14.1,15.9,26.6,34.1,26.1,33.3,,,31885.714285714286,14756.25,7.039,9.207666666666666,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",29.37,354.5304347826087
58,BW-301_4-A,2.0,BW,301.4,clumped,Cement,Dolomite,Cement,101.0,3.36,-3.3242742814707475,-2.5,1.5,1.5,2.9,3.0,2.9,2.9,0.5617,0.0185,0.0074,0.0363,36.5,6.8,7.3,13.2,15.1,12.9,14.8,0.2244,0.0531,,,,,y,30.0,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",28.23,354.61173913043484
59,BW-301_4-B,1.0,BW,301.4,clumped,Matrix,Dolomite,Matrix,101.7,3.52,-4.168180695159489,-4.6,2.0,2.1,4.0,4.1,3.9,4.0,0.5772,0.0252,,0.0494,30.8,8.7,9.5,16.6,19.9,16.3,19.5,0.2156,0.072,,,,,y,30.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",32.59,354.61173913043484
60,BW-302,1.0,BW,302.0,clumped,Bulk,Calcite,Bulk,69.0,3.51,-3.901647829010517,1.2,1.7,1.8,3.4,3.7,3.4,3.6,0.5322,0.0246,,0.0483,48.4,10.0,11.0,19.1,23.2,18.8,22.7,,,54558.57142857143,194.435,47.67,2.6243333333333334,y,33.39728032592487,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.2,354.62608695652176
61,BW-310,10.0,BW,310.0,clumped,Bulk,Calcite,Bulk,89.5,3.35,-3.8725476078488352,-1.0,0.6,0.5,1.1,1.1,1.1,1.1,0.5644,0.0079,0.0231,0.0154,35.5,2.9,3.0,5.8,6.1,5.6,6.0,0.2153,0.0426,57258.57142857143,215.55000000000004,44.035,8.829666666666666,n,3.552713678800501e-15,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.05,354.81739130434784
62,C22-3-13-187,3.0,Pederson,194.0,clumped,Bulk,Calcite,Bulk,92.7,2.54,-3.688246207158192,-1.4,1.0,1.0,2.1,2.1,2.0,2.1,0.5727,0.0153,0.0068,0.03,32.4,5.4,5.7,10.6,11.8,10.4,11.6,,,,,,,n,26.987374289386313,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.1,352.04347826086956
63,C22-3-154,1.0,Pederson,161.0,clumped,Bulk,Calcite,Bulk,84.7,2.1,-5.240258002447837,-2.7,1.5,1.6,3.0,3.3,3.0,3.2,0.5686,0.023,,0.0452,33.9,8.2,8.9,15.7,18.6,15.5,18.2,,,57030.0,61.245,23.765,10.16066667,n,18.262220361080242,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",38.31,351.2543478260869
64,C22-3-156.6c-A,6.0,Pederson,163.6,clumped,Rugose,Calcite,Fossil,85.3,3.31,-3.494244732746984,-1.8,0.6,0.7,1.3,1.4,1.3,1.3,0.5812,0.0099,0.0217,0.0194,29.4,3.4,3.6,6.8,7.3,6.6,7.1,,,,,,,y,24.717680630081745,"(0.00784313725490196, 0.6196078431372549, 0.45098039215686275)",29.1,351.3165217391304
65,C22-3-156.6c-B,2.0,Pederson,163.6,clumped,Vein,Calcite,Vein,27.9,1.23,-6.181165153342183,-5.0,1.1,1.1,2.2,2.3,2.1,2.2,0.5889,0.0166,0.0259,0.0326,26.7,5.6,5.9,10.8,12.1,10.6,11.9,,,,,,,y,24.717680630081745,black,43.51,351.3165217391304
66,C22-3-156_6-D,3.0,Pederson,163.6,clumped,Matrix,Calcite,Matrix,29.1,3.1,-4.454552031082453,-3.3,0.9,0.9,1.8,1.9,1.8,1.8,0.5895,0.0137,0.0238,0.027,26.5,4.6,4.8,9.0,9.9,8.9,9.7,0.2198,0.0715,,,,,y,24.717680630081745,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",34.1,351.3165217391304
67,C22-3-158,1.0,Pederson,165.0,clumped,Dolomite,Dolomite,Dolomite,103.7,3.39,-3.9644791470277214,0.5,1.8,1.8,3.7,3.7,3.6,3.6,0.5167,0.023,,0.0452,55.2,9.9,10.9,19.0,23.0,18.7,22.6,,,30258.57143,7899.625,10.5045,25.74333333,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",31.53,351.34999999999997
68,C22-3-162.4c-A,2.0,Pederson,169.4,clumped,Cement,Calcite,Cement,102.8,2.23,-4.39635158875909,3.8,1.3,1.3,2.5,2.6,2.4,2.6,0.4906,0.0167,0.0048,0.0328,67.7,8.2,8.8,15.7,18.3,15.5,17.9,,,,,,,y,25.0,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",33.79,351.4552173913043
69,C22-3-162.4c-B,1.0,Pederson,169.4,clumped,Dolomite,Dolomite,Dolomite,71.4,5.23,-3.372774650073546,3.0,1.9,1.9,3.8,3.8,3.7,3.7,0.493,0.0233,,0.0458,66.5,11.1,12.3,21.2,26.1,20.9,25.6,,,,,,,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",28.48,351.4552173913043
70,C22-3-163,5.0,Pederson,170.0,clumped,Bulk,Dolomite,Dolomite,26.9,5.39,-3.43097509239691,1.7,1.0,0.9,1.9,1.8,1.8,1.8,0.5088,0.0113,0.0311,0.0222,58.8,5.2,5.4,10.1,11.1,9.9,10.9,,,,,,,y,25.0,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",28.78,351.4695652173913
71,C22-3-166,1.0,Pederson,173.0,clumped,Bulk,Calcite,Bulk,28.6,2.25,-4.764954390140382,-1.8,1.6,1.6,3.1,3.3,3.0,3.2,0.5624,0.023,,0.0452,36.3,8.4,9.1,16.1,19.1,15.8,18.7,,,57615.71429,123.5175,47.09,13.73666667,n,18.772062046125598,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",35.75,351.54130434782604
72,C22-3-170,1.0,Pederson,177.0,clumped,Bulk,Calcite,Bulk,24.8,2.15,-4.6388534317730965,-3.8,1.6,1.5,3.0,3.1,3.0,3.0,0.5948,0.0231,,0.0454,24.7,7.5,8.1,14.5,17.0,14.2,16.6,,,55675.71429,55.69166667,24.195,14.88,y,4.241582730864046,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",35.08,351.6369565217391
73,C22-3-174c-A,3.0,Pederson,181.0,clumped,Matrix,Calcite,Matrix,30.8,2.65,-5.570060508946884,-2.9,1.0,1.0,2.0,2.1,1.9,2.0,0.5667,0.0148,0.0188,0.029,34.7,5.4,5.7,10.5,11.7,10.3,11.4,,,,,,,y,3.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",40.12,351.7326086956522
74,C22-3-174c-B,2.0,Pederson,181.0,clumped,Matrix,Calcite,Matrix,78.1,2.48,-4.823154832463746,-2.6,1.2,1.2,2.3,2.4,2.3,2.4,0.5734,0.0175,0.0341,0.0343,32.2,6.2,6.6,12.0,13.6,11.8,13.3,,,,,,,y,3.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",36.06,351.7326086956522
75,C22-3-178,2.0,Pederson,185.0,clumped,Bulk,Calcite,Bulk,79.7,2.18,-4.677653726655336,-1.5,1.2,1.2,2.3,2.4,2.3,2.3,0.5598,0.0169,0.0107,0.0332,37.3,6.3,6.7,12.2,13.8,12.0,13.5,0.2903,0.0736,52465.71429,64.49583333,26.92,12.34,n,13.770536365285075,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",35.29,351.8282608695652
76,C22-3-182,1.0,Pederson,189.0,clumped,Dolomite,Dolomite,Dolomite,81.0,4.33,-1.4812602745642895,4.9,1.9,1.8,3.8,3.7,3.7,3.6,0.4935,0.0232,,0.0455,66.2,11.0,12.2,21.1,25.9,20.7,25.3,,,31204.28571,17341.25,4.742,44.99,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",19.16,351.92391304347825
77,C22-3-190,1.0,Pederson,197.0,clumped,Dolomite,Dolomite,Dolomite,31.4,2.73,-4.750185118393107,5.0,1.8,1.9,3.7,3.7,3.6,3.7,0.4505,0.0229,,0.045,90.0,13.3,14.9,25.2,31.8,24.8,31.2,,,49260.0,11137.5,19.16,26.25666667,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",35.67,352.1152173913043
78,C22-3-194,1.0,Pederson,201.0,clumped,Dolomite,Dolomite,Dolomite,88.2,3.8,-4.313681800967892,4.3,1.8,1.9,3.7,3.7,3.6,3.7,0.4649,0.023,,0.0451,81.5,12.4,13.9,23.6,29.6,23.2,28.9,,,37718.57143,19696.25,7.779,13.03333333,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",33.36,352.21086956521737
79,C22-3-198,1.0,Pederson,205.0,clumped,Bulk,Calcite,Bulk,29.8,1.66,-4.609753210611414,-2.2,1.5,1.6,3.1,3.2,3.0,3.2,0.5707,0.023,,0.0452,33.2,8.1,8.8,15.6,18.4,15.4,18.1,,,58751.42857,120.32375,50.36,6.058,n,34.69081558253134,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",34.92,352.3065217391304
80,C22-3-200,4.0,Pederson,207.0,clumped,Bulk,Calcite,Bulk,32.0,1.85,-4.5709529157291735,-2.4,0.9,0.8,1.7,1.6,1.6,1.6,0.5748,0.0122,0.0238,0.024,31.7,4.3,4.5,8.5,9.2,8.3,9.1,,,68308.57143,194.05375,53.675,7.4,n,45.441564119402045,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",34.72,352.35434782608695
81,C22-4-10-166,3.0,Pederson,166.0,clumped,Dolomite,Dolomite,Dolomite,30.8,5.41,-3.586176271925871,5.5,1.1,1.1,2.3,2.3,2.2,2.2,0.4592,0.0141,0.0162,0.0277,84.8,8.0,8.6,15.5,17.8,15.2,17.4,,,22445.714285714286,13174.166666666668,1.1635,14.89,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",29.57,351.37391304347824
82,C22-4-100_75,1.0,Pederson,100.75,clumped,Bulk,Calcite,Bulk,100.4,3.1,-3.765846796922673,-2.1,1.5,1.6,3.0,3.2,3.0,3.2,0.5814,0.0231,,0.0454,29.3,7.9,8.5,15.1,17.8,14.9,17.5,,,61485.71429,193.74,33.715,11.22,y,6.151098239182556,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.5,349.81358695652165
83,C22-4-104_75,6.0,Pederson,104.75,clumped,Bulk,Calcite,Bulk,98.9,2.27,-3.765846796922673,-0.5,0.6,0.7,1.3,1.4,1.3,1.3,0.5581,0.0096,0.0192,0.0189,37.9,3.6,3.8,7.1,7.7,7.0,7.5,,,55760.0,170.79375,42.425,13.17,n,7.660851345012526,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.5,349.90923913043474
84,C22-4-108_75,1.0,Pederson,108.75,clumped,Bulk,Calcite,Bulk,29.2,2.3,-3.9695483450544393,-0.6,1.6,1.6,3.2,3.3,3.1,3.2,0.5575,0.023,,0.0452,38.1,8.5,9.3,16.4,19.4,16.1,19.1,,,56222.85714,110.90675,36.475,15.15666667,n,6.911368174240188,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.55,350.0048913043478
85,C22-4-112_75,1.0,Pederson,112.75,clumped,Bulk,Calcite,Bulk,31.4,3.18,-3.096541710204016,0.0,1.5,1.7,3.1,3.3,3.0,3.3,0.5603,0.0231,,0.0453,37.1,8.5,9.2,16.3,19.3,16.0,18.9,,,58607.14286,206.2125,40.19,13.88333333,y,7.72747621072557,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",27.08,350.1005434782608
86,C22-4-116_75,5.0,Pederson,116.75,clumped,Bulk,Calcite,Bulk,71.5,3.88,-2.019833527221826,-0.4,0.8,0.8,1.5,1.6,1.5,1.6,0.5821,0.0115,0.0377,0.0227,29.1,4.0,4.1,7.8,8.5,7.7,8.3,0.2994,0.0654,72187.14286,345.8375,33.975,6.649666667,n,12.425305290747097,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",21.75,350.19619565217386
87,C22-4-120_75,1.0,Pederson,120.75,clumped,Bulk,Calcite,Bulk,99.0,3.62,-3.125641931365698,0.7,1.6,1.7,3.1,3.4,3.1,3.3,0.5502,0.0231,,0.0453,41.0,8.8,9.6,16.9,20.1,16.6,19.7,,,64510.0,262.5125,44.93,10.973333333333334,y,15.54639853154012,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",27.23,350.2918478260869
88,C22-4-125,3.0,Pederson,125.0,clumped,Bulk,Calcite,Bulk,105.2,3.29,-3.9598482713338807,-2.1,1.0,1.0,1.9,2.0,1.9,2.0,0.5784,0.0146,0.0273,0.0286,30.4,5.1,5.4,9.9,11.0,9.7,10.8,,,65751.66666666667,186.73875,35.585,9.491666666666667,y,12.067020849856384,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.5,350.39347826086953
89,C22-4-125.6c-A,5.0,Pederson,125.6,clumped,Matrix,Calcite,Matrix,107.8,3.39,-3.5815453962320296,-2.2,0.7,0.8,1.4,1.5,1.4,1.5,0.5854,0.0108,0.0281,0.0212,27.9,3.7,3.8,7.3,7.8,7.1,7.7,,,,,,,y,11.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",29.55,350.40782608695645
90,C22-4-128,1.0,Pederson,128.0,clumped,Bulk,Calcite,Bulk,95.8,3.42,-3.1741422999684965,-1.0,1.5,1.6,3.0,3.3,3.0,3.2,0.5738,0.0231,,0.0454,32.0,8.1,8.8,15.5,18.3,15.3,18.0,,,53251.66666666666,123.325,30.415,7.900666666666667,y,5.31575521097911,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",27.47,350.4652173913043
91,C22-4-132,1.0,Pederson,132.0,clumped,Bulk,Calcite,Bulk,99.9,4.13,-2.892840162072249,0.5,1.6,1.7,3.1,3.3,3.1,3.3,0.5564,0.0231,,0.0454,38.6,8.6,9.4,16.5,19.6,16.2,19.2,,,57588.333333333336,114.54637499999998,31.955,6.439333333333334,y,0.8256664134997624,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",26.05,350.56086956521733
92,C22-4-136,4.0,Pederson,136.0,clumped,Bulk,Calcite,Bulk,101.1,5.26,-2.524237360690956,0.0,0.8,0.9,1.6,1.7,1.6,1.7,0.5686,0.0121,0.019,0.0238,33.9,4.4,4.6,8.6,9.4,8.5,9.2,,,59216.66666666666,160.13,67.855,14.2,y,10.182830966116265,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",24.22,350.65652173913037
93,C22-4-140,3.0,Pederson,140.0,clumped,Bulk,Calcite,Bulk,110.8,2.49,-4.667953652934778,-0.2,1.0,1.0,2.0,2.0,1.9,2.0,0.5414,0.0141,0.0147,0.0277,44.5,5.6,5.9,11.0,12.2,10.8,12.0,0.29,0.0638,56531.66666666666,96.775,24.535,11.98,y,10.0,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",35.23,350.7521739130434
94,C22-4-142_8-A,2.0,Pederson,142.8,clumped,Crinoid,Calcite,Fossil,114.9,4.1,-2.7473390562638462,-0.1,1.2,1.3,2.4,2.7,2.4,2.6,0.5667,0.0185,0.0279,0.0363,34.7,6.7,7.1,12.9,14.8,12.7,14.5,0.2236,0.0528,,,,,y,19.09151753280095,"(0.8352941176470589, 0.3686274509803922, 0.0)",25.33,350.81913043478255
95,C22-4-142_8-B,1.0,Pederson,142.8,clumped,Matrix,Calcite,Matrix,98.0,3.17,-4.173249893186206,-3.2,1.6,1.7,3.3,3.4,3.2,3.4,0.592,0.0251,,0.0493,25.6,8.2,8.9,15.8,18.7,15.5,18.4,0.1921,0.0718,,,,,y,19.09151753280095,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",32.62,350.81913043478255
96,C22-4-144,3.0,Pederson,144.0,clumped,Bulk,Calcite,Bulk,98.8,3.09,-4.357551293876849,-0.3,1.0,1.0,1.9,2.0,1.9,1.9,0.5469,0.0137,0.0084,0.0269,42.3,5.4,5.6,10.5,11.6,10.3,11.4,,,61266.66666666666,88.70458333333333,24.8,10.933333333333332,y,26.259281725261605,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",33.59,350.8478260869565
97,C22-4-148,5.0,Pederson,148.0,clumped,Bulk,Calcite,Bulk,95.9,1.98,-5.036556454316071,-2.3,0.7,0.8,1.4,1.5,1.4,1.5,0.5656,0.0106,0.0184,0.0207,35.1,3.9,4.0,7.6,8.3,7.5,8.1,,,53890.0,67.0025,24.215,10.426666666666668,n,25.09585351410727,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",37.21,350.94347826086954
98,C22-4-152,1.0,Pederson,152.0,clumped,Bulk,Calcite,Bulk,88.8,1.95,-5.152957338962792,-1.2,1.6,1.6,3.2,3.3,3.1,3.2,0.5489,0.0229,,0.045,41.5,8.7,9.5,16.8,20.0,16.5,19.6,,,59085.0,59.365,21.82,11.123333333333331,n,3.5197789449329306,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",37.84,351.0391304347826
99,C22-4-153-A,3.0,Pederson,153.0,clumped,Cement,Calcite,Cement,84.6,-5.61,-9.100887343230823,-3.0,1.1,1.1,2.1,2.2,2.1,2.2,0.5183,0.0148,0.0346,0.0291,54.5,6.5,6.9,12.5,14.2,12.3,13.9,0.269,0.0449,,,,,n,0.0,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",60.63,351.06304347826085
100,C22-4-153-B,1.0,Pederson,153.0,clumped,Matrix,Calcite,Matrix,78.2,1.78,-5.899863015445936,-2.8,1.7,1.8,3.3,3.6,3.2,3.5,0.56,0.0249,,0.0488,37.2,9.1,10.0,17.4,21.0,17.1,20.5,0.3076,0.0745,,,,,n,0.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",41.94,351.06304347826085
101,C22-4-156,1.0,Pederson,156.0,clumped,Bulk,Calcite,Bulk,103.5,1.65,-5.783462130799208,-2.2,1.6,1.6,3.1,3.3,3.1,3.2,0.5543,0.0229,,0.045,39.4,8.6,9.3,16.5,19.6,16.2,19.2,,,57405.0,44.3975,19.095,11.413333333333334,n,0.2305815935647364,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",41.29,351.1347826086956
102,C22-4-157.8c-B1-A,6.0,Pederson,157.8,clumped,Brachiopod,Calcite,Fossil,92.7,2.59,-4.386651515038531,-2.2,0.7,0.6,1.4,1.3,1.4,1.3,0.5747,0.0099,0.0142,0.0193,31.7,3.5,3.7,6.9,7.4,6.8,7.2,,,,,,,n,5.717062903657419,"(0.8, 0.47058823529411764, 0.7372549019607844)",33.74,351.1778260869565
103,C22-4-160,1.0,Pederson,160.0,clumped,Bulk,Calcite,Bulk,86.3,2.44,-4.920155569669343,-2.6,1.6,1.6,3.1,3.2,3.0,3.2,0.5724,0.0231,,0.0453,32.5,8.1,8.8,15.6,18.4,15.3,18.0,,,57130.0,79.41499999999999,22.015,10.099333333333334,n,14.44702622399151,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",36.58,351.23043478260865
104,C22-4-164,1.0,Pederson,164.0,clumped,Dolomite,Dolomite,Dolomite,90.0,4.77,-2.4318674991792,4.4,1.9,1.9,3.7,3.8,3.7,3.7,0.4873,0.0232,,0.0456,69.4,11.3,12.6,21.6,26.7,21.3,26.1,,,29645.714285714286,16310.833333333332,1.425,35.78666666666666,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",23.76,351.3260869565217
105,C22-4-165-SP,1.0,Pederson,165.0,clumped,Cement,Dolomite,Cement,92.7,-3.65,-10.056125443539576,-6.4,1.8,1.8,3.6,3.7,3.5,3.6,0.5261,0.0227,,0.0445,51.0,9.5,10.4,18.1,21.8,17.8,21.3,,,83954.0,18.165,17.39,19.55,y,25.0,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",66.57,351.34999999999997
106,C22-4-170,3.0,Pederson,170.0,clumped,Dolomite,Dolomite,Dolomite,98.3,5.49,-2.693769489634324,3.9,1.2,1.1,2.3,2.3,2.3,2.3,0.4904,0.0144,0.0313,0.0283,67.8,7.1,7.5,13.7,15.6,13.5,15.3,,,28665.714285714286,16474.166666666668,3.258,26.33666666666667,y,25.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",25.06,351.4695652173913
107,C22-4-2-89_75,3.0,Pederson,89.75,clumped,Bulk,Calcite,Bulk,99.8,2.26,-4.823154832463746,-1.4,1.0,1.1,2.0,2.1,2.0,2.1,0.5559,0.015,0.0125,0.0295,38.8,5.7,6.0,11.0,12.3,10.9,12.1,,,65885.71429,231.9625,47.68,24.20333333,n,3.1392268344079675,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",36.06,349.5505434782608
